city,federal_district,fias_id,kladr_id,lat,lon,okato,oktmo,population,region_iso_code,region_name
Алейск,Сибирский,ae716080-f27b-40b6-a555-cf8b518e849e,2200000200000,52.4922513,82.7793606,1403000000,1703000001,29.0,RU-ALT,Алтайский край
Барнаул,Сибирский,d13945a8-7017-46ab-b1e6-ede1e89317ad,2200000100000,53.3479968,83.7798064,1401000000,1701000001,632.4,RU-ALT,Алтайский край
Белокуриха,Сибирский,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,2200000300000,51.996152,84.9839604,1404000000,1704000001,15.2,RU-ALT,Алтайский край
Бийск,Сибирский,52f876f6-cb1d-4f23-a22f-b692609fc1e0,2200000400000,52.5393864,85.2138453,1405000000,1705000001,199.5,RU-ALT,Алтайский край
Горняк,Сибирский,094b3627-2699-4782-8492-4d82aac71958,2202700100000,50.9979622,81.4643358,1225501000,1625101001,12.3,RU-ALT,Алтайский край
Заринск,Сибирский,142e04ef-dec1-44fa-b553-fac215764374,2200001100000,53.7063476,84.9315081,1406000000,1706000001,45.9,RU-ALT,Алтайский край
Змеиногорск,Сибирский,e7001b8f-d104-4873-96d4-66339f5e530a,2201500100000,51.1581094,82.1872547,1214501000,1614101001,10.2,RU-ALT,Алтайский край
Камень-на-Оби,Сибирский,810ca9c7-f10e-4def-9c48-f0aa83168ca7,2201800100000,53.7913974,81.3545053,1216501000,1616101001,40.5,RU-ALT,Алтайский край
Новоалтайск,Сибирский,aa288d9f-4b2a-42a6-97f0-3502dddfa383,2200000800000,53.4119759,83.9311069,1413000000,1713000001,74.6,RU-ALT,Алтайский край
Рубцовск,Сибирский,65db5c88-c65c-43f0-9c21-13e15a032d4a,2200000900000,51.5012067,81.2078695,1416000000,1716000001,141.6,RU-ALT,Алтайский край
Славгород,Сибирский,94ae181d-b153-4dd1-8a2f-12852919875f,2200001000000,52.999463,78.6459232,1419000000,1719000001,29.1,RU-ALT,Алтайский край
